CUSTOMERKEY,GENDER,NAME,CITY,STATE_CODE,STATE,COUNTRY,CONTINENT,BIRTHDAY
301,FEMALE,LILLY HARDING,WANDEARAH EAST,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1939-07-03
325,FEMALE,MADISON HULL,MOUNT BUDD,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1979-09-27
554,FEMALE,CLAIRE FERRES,WINJALLOK,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1947-05-26
786,MALE,JAI POLTPALINGADA,MIDDLE RIVER,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1957-09-17
1042,MALE,AIDAN PANKHURST,TAWONGA SOUTH,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1965-11-19
1086,MALE,HAYDEN CLEGG,TEMPLERS,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1954-01-20
1133,MALE,NICHOLAS CAFFYN,JUBILEE POCKET,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1969-11-22
1256,MALE,LINCOLN JENKS,KULLOGUM,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1950-03-12
1314,MALE,ISAAC ISRAEL,EDITH RIVER,NT,NORTHERN TERRITORY,AUSTRALIA,AUSTRALIA,1965-12-21
1568,MALE,LUKE VIRTUE,KOTTA,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1975-07-25
1585,FEMALE,ANNA HALLSTROM,GREEN LAKE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1990-08-12
1626,FEMALE,MARY LEACH,NEDS CORNER,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1985-10-17
1642,FEMALE,RUBY AMBROSE,TARLO,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1965-03-03
1677,MALE,DEAN INNES,ELLESMERE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1964-11-22
1817,FEMALE,LAURA LE RENNETEL,BEAUCHAMP,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1986-07-10
1863,FEMALE,CHELSEA WATKINS,NAMBOUR DC,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1984-09-22
1945,MALE,ANGUS BEAUREPAIRE,GREENFIELDS,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1974-09-20
2238,FEMALE,ISABELLE COCHRAN,BRUCKNELL,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1969-10-31
2248,MALE,RORY SPARGO,JUNG,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1987-12-15
2435,FEMALE,LILIAN HALL,BLAKEBROOK,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1968-04-01
2469,FEMALE,PHOEBE KNEESHAW,BIDWILL,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1948-05-20
2512,FEMALE,MATILDA HAKE,BUNKERS HILL,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1992-11-13
2604,FEMALE,CLAUDIA DAVISON,KUBIN VILLAGE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1995-04-08
2751,MALE,NATE LOWES,CALLIDE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1979-08-20
2792,MALE,ZACHARY PERKIN,BAMGANIE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1976-08-25
2836,MALE,NICHOLAS SHAND,GORDONBROOK,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1959-02-23
3002,MALE,JOSHUA ARONSON,SMITHTON,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,2000-11-08
3006,FEMALE,ALICA STUCKEY,HARTLEY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1943-01-13
3203,MALE,AIDAN KANE,ARGENTON,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1998-08-18
3270,MALE,HUNTER TEMPLETON,CENTRAL TILBA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1948-05-02
3327,FEMALE,ALANNAH LE MESSURIER,KONONGWOOTONG,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1948-04-28
3410,MALE,WILL ARMITAGE,BOLLON,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1950-05-12
3575,MALE,NOAH MCFARLAND,HOPPERS CROSSING,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1942-03-04
3964,FEMALE,ROSE CODE,DIXIE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1944-02-16
4004,FEMALE,PIPER WRIXON,WYALLA PLAZA,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1995-06-24
4174,FEMALE,REBECCA YELVERTON,OCEAN REEF,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1990-10-05
4633,FEMALE,VICTORIA BROWN,KEYSLAND,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1964-01-08
4734,MALE,JUSTIN FELAN,PARMELIA,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1946-02-13
4808,MALE,JAMIE EVENDEN,HAYWARDS BAY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1944-06-28
4811,MALE,BRAYDEN BULCOCK,WIDGIEMOOLTHA,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1994-12-21
5097,FEMALE,BELLA FOLEY,MOUNT PLEASANT,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1942-11-13
5445,MALE,JAKE CLIBBORN,REEFTON,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1952-09-10
5962,MALE,AIDEN DUGDALE,SWAN BAY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1938-11-17
6193,FEMALE,LARA CASSIDY,REGENCY PARK,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1945-12-27
6242,MALE,CODY GROSSE,KOOMBERKINE,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1964-02-10
6258,MALE,ZAC HULL,SANDFORD,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1976-07-03
6308,MALE,TAJ SEXTON,KOOREH,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,2001-02-15
6459,MALE,MITCHELL LEIGH,KEILOR DOWNS,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1942-05-24
6794,FEMALE,ABBY HYAM,CALDER,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,1971-02-06
7109,MALE,HAMISH BOLTON,LANKEYS CREEK,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1979-11-15
7122,FEMALE,LARA VIRTUE,HIGGINSVILLE,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1999-08-13
7313,FEMALE,CHELSEA KEAST,KANMANTOO,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1990-01-26
7398,MALE,JONATHAN THORPE,COOEE BAY,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1945-06-10
7493,MALE,DECLAN TORRENS,NOORINDOO,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1978-07-20
7494,MALE,BEN COVENTRY,HYDE PARK,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1967-04-02
7566,MALE,WILLIAM PRENZEL,KILLARA,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1993-07-01
7664,MALE,RILEY GAFFNEY,CANOWIE,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1947-03-18
7700,MALE,LUCAS KEENAN,STANWELL TOPS,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1975-01-27
